Identifiant;Statut;Motif du refus;Domaine;Activité;Commune;Rue;Type d'ouvrage;Code ouvrage;Num. DI;Ordre de travail;Programme;Créé le;Entreprise;Date Intervention;Intervenant;Observation;Durée Intervention;obs_clean;remplacement_fusible;remplacement_ampoule;remplacement_driver;remplacement_boite_derivation;remplacement_driver_et_connexions;pose_lanterne_provisoire;separation_phases_cablage;plateau_led_hs;reenclenchement_disjoncteur;reprise_raccordement;refection_connexions;resume_ia
44909259;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;PARC DE LA PROVIDENCE;Luminaire;P3028;;476.0;;17/11/2025;CITEOS QUIMPER;2025-11-17;CITEOS_EQUIPE 1;Changement de lampe 150w  shp .Essais ok.;1:00;changement de lampe 150w  shp .essais ok.;non;oui;non;non;non;non;non;non;non;non;non;remplacement ampoule
44909257;A valider;;Eclairage public;Curatif Armoire;QUIMPER;ROUTE DE KEROGAN;Armoire;424;12621.0;;;17/11/2025;VILLE DE QUIMPER;2025-11-14;CITEOS_EQUIPE 2;Coupure générale du quartier (ENEDIS);1:00;coupure générale du quartier (enedis);non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909255;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;AVENUE DES CHASSEURS;Luminaire;K1938;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909253;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;ALLEE DE MEILH STANG VIHAN;Luminaire;K2006;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909251;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;PLACE DE LA CROIX DES GARDIENS;Luminaire;K2052_2;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909249;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE DE STANG BIHAN;Luminaire;K2065;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909247;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;PLACE DE LA CROIX DES GARDIENS;Luminaire;K2054;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909245;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE JAKEZ RIOU;Luminaire;K192_1;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909243;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE JAKEZ RIOU;Luminaire;K191_1;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909241;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE JAKEZ RIOU;Luminaire;K190_1;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909239;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE DES ROSES;Luminaire;K189_1;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
